,p,n,leading_eigenvalue,mean_eigenvalue,median_eigenvalue
0,50,126,0.003287063598375419,9.68825644771758e-05,4.7316499020107046e-20
1,100,126,0.0071079431096965455,0.00022247779648830142,2.924784729736181e-05
2,200,126,0.015285436298524462,0.0003158671092274164,2.8993820608922114e-05
3,500,126,0.04557155430231435,0.0003755850838151341,1.936571127573162e-19
4,1000,126,0.11677379343769685,0.00047922025200259407,1.5544646155747085e-19
