,p,n,leading_eigenvalue,p/n_ratio,mean_eigenvalue,median_eigenvalue
0,50,126,0.0032870635983754163,0.3968253968253968,9.688256447717583e-05,5.017722543033592e-20
1,99,126,0.0070699194722329195,0.7857142857142857,0.00022173443432415616,2.9030045457574104e-05
2,198,126,0.015139234942316974,1.5714285714285714,0.00030987642530522534,2.9385178133217765e-05
